"nom";"prenom";"login";"mdp";"adresse";"cp";"commune";"date_embauche";"email";"role";"telephone"
"Chabannes";"Kim";"kim";"1234";"52, rue de la guenille";"42100";"St Etienne";01/09/2016;"kim42.gsb@gmail.com";;"0477514257"
"Villechalane";"Louis";"lvillachane";"jux7g";"8 rue des Charmes";46000;"Cahors";21/12/2005;;;"0127541728"
"Andre";"David";"dandre";"oppg5";"1 rue Petit";46230;"Lalbenque";23/11/1998;;;"0112345644"
"Bedos";"Christian";"cbedos";"gmhxd";"1 rue Peranud";46800;"Montcuq";12/01/1995;;;"0723545789"
"Tusseau";"Louis";"ltusseau";"ktp3s";"22 rue des Ternes";46500;"Gramat";01/05/2000;;;"0174742525"
"Bentot";"Pascal";"pbentot";"doyw1";"11 allée des Cerises";79000;"Bessines";09/07/1992;;;"0985745123"
"Bioret";"Luc";"lbioret";"hrjfs";"1 Avenue gambetta";46000;"Cahors";11/05/1998;;;"0978451262"
"Bunisset";"Francis";"fbunisset";"4vbnd";"10 rue des Perles";93100;"Montreuil";21/10/1987;;;"0745681239"
"Bunisset";"Denise";"dbunisset";"s1y1r";"23 rue Manin";75019;"paris";05/12/2010;;;"+654197588"
"Cacheux";"Bernard";"bcacheux";"uf7r3";"114 rue Blanche";75017;"Paris";12/11/2009;;;"+725684331"
"Cadic";"Eric";"ecadic";"6u8dc";"123 avenue de la République";75011;"Paris";23/09/2008;;;"0175849020"
"Charoze";"Catherine";"ccharoze";"u817o";"100 rue Petit";75019;"Paris";12/11/2005;;;"0144728193"
"Clepkens";"Christophe";"cclepkens";"bw1us";"12 allée des Anges";93230;"Romainville";11/08/2003;;;"0150307721"
"Cottin";"Vincenne";"vcottin";"2hoh9";"36 rue Des Roches";93100;"Montreuil";18/11/2001;;;"0672337457"
