nom;prenom;login;mdp;adresse;cp;commune;date_embauche;email;role
Daburon;François;fdaburon;7oqpv;13 rue de Chanzy;94000;Créteil;11/02/2002;;
De;Philippe;pde;gk9kx;13 rue Barthes;94000;Créteil;14/12/2010;;
Debelle;Michel;mdebelle;od5rt;181 avenue Barbusse;93110;Rosny sous bois;23/11/2006;;
Debelle;Jeanne;jdebelle;nvwqq;134 allée des Joncs;44000;Nantes;11/05/2000;;
Debroise;Michel;mdebroise;sghkb;2 Bld Jourdain;44000;Nantes;17/04/2001;;
Desmarquest;Nathalie;ndesmarquest;f1fob;14 Place d Arc;45000;Orléans;12/11/2005;;
Desnost;Pierre;pdesnost;4k2o5;16 avenue des Cédres;23000;Guéret;05/02/2001;;
Dudouit;Frédéric;fdudouit;44im8;18 rue de l église;97112;Grand Bourg;01/08/2000;;
Duncombe;Claude;cduncombe;qf77j;19 rue de la tour;23300;La souterraine;10/10/1987;;
Enault-Pascreau;Céline;cenault;y2qdu;25 place de la gare;23000;Guéret;01/09/1995;;
Eynde;Valérie;veynde;i7sn3;3 Grand Place;13015;Marseille;01/11/1999;;
Finck;Jacques;jfinck;mpb3t;10 avenue du Prado;13002;Marseille;10/11/2001;;
Frémont;Fernande;ffremont;xs5tq;4 route de la mer;13190;Allauch;01/10/1998;;
Gest;Alain;agest;dywvt;30 avenue de la mer;13130;Berre l etang;01/11/1985;;
